,state,county,Risk,county,,,,0
2116,Ohio,Shelby,0.547094524,Shelby,,,,0.547094524
2117,Ohio,Stark,0.611138701,Stark,,,,0.611138701
2118,Ohio,Summit,0.615254104,Summit,,,,0.615254104
2119,Ohio,Trumbull,0.640465856,Trumbull,,,,0.640465856
2120,Ohio,Tuscarawas,0.534877002,Tuscarawas,,,,0.534877002
2121,Ohio,Union,0.514133453,Union,,,,0.514133453
2122,Ohio,Van,0.628327668,Van,,,,0.628327668
2123,Ohio,Vinton,0.640058875,Vinton,,,,0.640058875
2124,Ohio,Warren,0.586308181,Warren,,,,0.586308181
2125,Ohio,Washington,0.689084232,Washington,,,,0.689084232
2126,Ohio,Wayne,0.521989465,Wayne,,,,0.521989465
2127,Ohio,Williams,0.559461653,Williams,,,,0.559461653
2128,Ohio,Wood,0.583890915,Wood,,,,0.583890915
2129,Ohio,Wyandot,0.571537375,Wyandot,,,,0.571537375
2130,Oklahoma,Adair,0.634728849,Adair,,,,0.634728849
2131,Oklahoma,Alfalfa,0.419935405,Alfalfa,,,,0.419935405
2132,Oklahoma,Atoka,0.5472157,Atoka,,,,0.5472157
2133,Oklahoma,Beaver,0.346684366,Beaver,,,,0.346684366
2134,Oklahoma,Beckham,0.440992802,Beckham,,,,0.440992802
2135,Oklahoma,Blaine,0.416082233,Blaine,,,,0.416082233
2136,Oklahoma,Bryan,0.478966326,Bryan,,,,0.478966326
2137,Oklahoma,Caddo,0.437479049,Caddo,,,,0.437479049
2138,Oklahoma,Canadian,0.445651531,Canadian,,,,0.445651531
2139,Oklahoma,Carter,0.446199119,Carter,,,,0.446199119
2140,Oklahoma,Cherokee,0.609948933,Cherokee,,,,0.609948933
2141,Oklahoma,Choctaw,0.510294199,Choctaw,,,,0.510294199
2142,Oklahoma,Cimarron,0.354837716,Cimarron,,,,0.354837716
2143,Oklahoma,Cleveland,0.47886911,Cleveland,,,,0.47886911
2144,Oklahoma,Coal,0.548036695,Coal,,,,0.548036695
2145,Oklahoma,Comanche,0.397703856,Comanche,,,,0.397703856
2146,Oklahoma,Cotton,0.439889163,Cotton,,,,0.439889163
2147,Oklahoma,Craig,0.495968878,Craig,,,,0.495968878
2148,Oklahoma,Creek,0.432047188,Creek,,,,0.432047188
2149,Oklahoma,Custer,0.345858693,Custer,,,,0.345858693
2150,Oklahoma,Delaware,0.559600174,Delaware,,,,0.559600174
2151,Oklahoma,Dewey,0.381446511,Dewey,,,,0.381446511
2152,Oklahoma,Ellis,0.444653273,Ellis,,,,0.444653273
2153,Oklahoma,Garfield,0.361690491,Garfield,,,,0.361690491
2154,Oklahoma,Garvin,0.488523483,Garvin,,,,0.488523483
2155,Oklahoma,Grady,0.48367548,Grady,,,,0.48367548
2156,Oklahoma,Grant,0.495494872,Grant,,,,0.495494872
2157,Oklahoma,Greer,0.441598624,Greer,,,,0.441598624
2158,Oklahoma,Harmon,0.333775371,Harmon,,,,0.333775371
2159,Oklahoma,Harper,0.329338938,Harper,,,,0.329338938
2160,Oklahoma,Haskell,0.541447222,Haskell,,,,0.541447222
2161,Oklahoma,Hughes,0.666368425,Hughes,,,,0.666368425
2162,Oklahoma,Jackson,0.322771609,Jackson,,,,0.322771609
2163,Oklahoma,Jefferson,0.469638675,Jefferson,,,,0.469638675
2164,Oklahoma,Johnston,0.54138571,Johnston,,,,0.54138571
